Step,Obj_Name,Obj_X,Obj_Y,Deflection_dX,Max_Flow_Vel
0,FlexibleCylinder_0,200,100.0,0.0,0.02000199993769383
20,FlexibleCylinder_0,200,100.00002977782621,2.977782621692126e-05,0.033275485865396456
40,FlexibleCylinder_0,200,100.00018994099575,0.00018994099575223795,0.03951104451072617
60,FlexibleCylinder_0,200,100.000455892294,0.0004558922939999011,0.04214237605305976
80,FlexibleCylinder_0,200,100.00074843064554,0.0007484306455372804,0.04316125307737662
100,FlexibleCylinder_0,200,100.00113228280604,0.0011322828060396548,0.042288229705763354
120,FlexibleCylinder_0,200,100.00159329660978,0.0015932966097893793,0.04110479535474166
140,FlexibleCylinder_0,200,100.00212981912047,0.0021298191204651143,0.03998113017156617
160,FlexibleCylinder_0,200,100.00274689664036,0.0027468966403671256,0.03918357785625051
180,FlexibleCylinder_0,200,100.00343860645215,0.0034386064521468723,0.0385039792181587
200,FlexibleCylinder_0,200,100.00420780149406,0.004207801494058571,0.037983690516639974
220,FlexibleCylinder_0,200,100.00505431229053,0.0050543122905280955,0.03766776705164995
240,FlexibleCylinder_0,200,100.00597537154707,0.00597537154706691,0.03750085331310212
260,FlexibleCylinder_0,200,100.00696819132821,0.006968191328205577,0.037362071401592256
280,FlexibleCylinder_0,200,100.00803092486784,0.008030924867835156,0.037213430369852814
300,FlexibleCylinder_0,200,100.00882749649774,0.0088274964977421,0.03732662583643835
320,FlexibleCylinder_0,200,100.00989441689735,0.0098944168973532,0.037466058363476586
340,FlexibleCylinder_0,200,100.01142239122841,0.011422391228403685,0.03733454427127531
360,FlexibleCylinder_0,200,100.01291741095106,0.012917410951068136,0.037258115928575045
380,FlexibleCylinder_0,200,100.01430699728739,0.014306997287397493,0.037565901685484106
400,FlexibleCylinder_0,200,100.01567663331349,0.015676633313487197,0.03766906568778094
420,FlexibleCylinder_0,200,100.01706189705013,0.0170618970501272,0.03737294583392097
440,FlexibleCylinder_0,200,100.01855783639645,0.01855783639645004,0.037220131322054685
460,FlexibleCylinder_0,200,100.02015093308547,0.020150933085470446,0.0370241333109128
480,FlexibleCylinder_0,200,100.02178757398364,0.021787573983645517,0.036804202497182734
500,FlexibleCylinder_0,200,100.0234671146726,0.02346711467260186,0.03662992929688415
520,FlexibleCylinder_0,200,100.02519220791348,0.02519220791347975,0.036456730657274734
540,FlexibleCylinder_0,200,100.02696525610844,0.026965256108443792,0.03634290647763777
560,FlexibleCylinder_0,200,100.02878468535573,0.028784685355726494,0.03623591922319346
580,FlexibleCylinder_0,200,100.03063202559808,0.03063202559807693,0.03614486872359958
600,FlexibleCylinder_0,200,100.0324007363275,0.03240073632750712,0.03609531974133006
620,FlexibleCylinder_0,200,100.03447857317961,0.034478573179614606,0.03601107350522488
640,FlexibleCylinder_0,200,100.03647764750097,0.03647764750097064,0.03604785470416594
660,FlexibleCylinder_0,200,100.03840038675845,0.03840038675844872,0.03912788829501036
680,FlexibleCylinder_0,200,100.04034023884422,0.04034023884422538,0.04008731624793603
700,FlexibleCylinder_0,200,100.04273109787685,0.04273109787685125,0.037575999225563234
720,FlexibleCylinder_0,200,100.0451012419413,0.04510124194129464,0.03710956892502121
740,FlexibleCylinder_0,200,100.04641708880814,0.0464170888081379,0.039497968724225854
760,FlexibleCylinder_0,200,100.04842225946851,0.04842225946851267,0.04021393835207644
780,FlexibleCylinder_0,200,100.05180403986601,0.051804039866009295,0.03858119689512629
800,FlexibleCylinder_0,200,100.05499350820787,0.05499350820787689,0.036555008859852176
820,FlexibleCylinder_0,200,100.0577123055628,0.05771230556280712,0.03548934609969451
840,FlexibleCylinder_0,200,100.06049200509693,0.06049200509693231,0.03492135174259295
860,FlexibleCylinder_0,200,100.06313156887711,0.06313156887711548,0.03436403499034611
880,FlexibleCylinder_0,200,100.06570770957946,0.06570770957946125,0.03429336790140414
900,FlexibleCylinder_0,200,100.0682415413047,0.06824154130469949,0.034400023544845525
920,FlexibleCylinder_0,200,100.07087760001136,0.0708776000113592,0.03474433733646174
940,FlexibleCylinder_0,200,100.0734836565736,0.07348365657359568,0.036282613243165174
960,FlexibleCylinder_0,200,100.07535393839801,0.07535393839800783,0.03564488811013958
980,FlexibleCylinder_0,200,100.07878309211299,0.07878309211298068,0.037964716872285684
1000,FlexibleCylinder_0,200,100.08221164887595,0.08221164887595202,0.03674512811659744
1020,FlexibleCylinder_0,200,100.08545110910038,0.08545110910037565,0.036346048593636646
1040,FlexibleCylinder_0,200,100.08743917408665,0.08743917408665858,0.035130616580035086
1060,FlexibleCylinder_0,200,100.09048859426625,0.09048859426625015,0.034931816522960714
1080,FlexibleCylinder_0,200,100.09386600819391,0.09386600819390827,0.03499210861074978
1100,FlexibleCylinder_0,200,100.09723705386132,0.09723705386132762,0.03517047610044465
1120,FlexibleCylinder_0,200,100.10011371715747,0.10011371715747631,0.034938250695919104
1140,FlexibleCylinder_0,200,100.10272795390898,0.1027279539089829,0.034652523794435064
1160,FlexibleCylinder_0,200,100.1052757142991,0.10527571429910276,0.03466249027600303
1180,FlexibleCylinder_0,200,100.10816360675145,0.10816360675145152,0.03480275879504729
1200,FlexibleCylinder_0,200,100.110274104121,0.11027410412100339,0.03531382960799098
1220,FlexibleCylinder_0,200,100.11135916381859,0.11135916381858896,0.03511811304354879
1240,FlexibleCylinder_0,200,100.11460596530718,0.11460596530718001,0.03524889285606208
1260,FlexibleCylinder_0,200,100.11947133820324,0.11947133820323802,0.03636703597520882
1280,FlexibleCylinder_0,200,100.12393672837501,0.12393672837501149,0.03593458001038537
1300,FlexibleCylinder_0,200,100.1278529927308,0.12785299273078912,0.035680200817403765
1320,FlexibleCylinder_0,200,100.13036848187387,0.13036848187387795,0.034760297303444015
1340,FlexibleCylinder_0,200,100.13325719191296,0.1332571919129665,0.03444132535252068
1360,FlexibleCylinder_0,200,100.13627194307756,0.13627194307755566,0.034354284009086175
1380,FlexibleCylinder_0,200,100.13921720297694,0.13921720297694226,0.034966843975336614
1400,FlexibleCylinder_0,200,100.14182139863294,0.14182139863294055,0.0354935532116246
1420,FlexibleCylinder_0,200,100.14511622871385,0.14511622871384824,0.03438565099661187
1440,FlexibleCylinder_0,200,100.14876464243297,0.14876464243296647,0.0340417353657225
1460,FlexibleCylinder_0,200,100.1520434683053,0.1520434683052999,0.033768767407348466
1480,FlexibleCylinder_0,200,100.15487035810871,0.15487035810870958,0.0338778184779689
1500,FlexibleCylinder_0,200,100.15775153955549,0.1577515395554938,0.0338768257423184
1520,FlexibleCylinder_0,200,100.16145011414115,0.16145011414114901,0.03365646405235873
1540,FlexibleCylinder_0,200,100.16520514832897,0.1652051483289652,0.0332725954757754
1560,FlexibleCylinder_0,200,100.16871598815791,0.16871598815792038,0.03409875417448051
1580,FlexibleCylinder_0,200,100.17169810109941,0.1716981010994116,0.0338445320528493
1600,FlexibleCylinder_0,200,100.17435857977159,0.1743585797715885,0.03364162370332814
1620,FlexibleCylinder_0,200,100.1778271331345,0.17782713313449552,0.03381193383053653
1640,FlexibleCylinder_0,200,100.18161957985157,0.18161957985157642,0.03360062592649956
1660,FlexibleCylinder_0,200,100.18489248049615,0.1848924804961433,0.03335265264928038
1680,FlexibleCylinder_0,200,100.1879414289155,0.18794142891548773,0.033690566916421874
1700,FlexibleCylinder_0,200,100.19142822877924,0.19142822877924412,0.033294121648311165
1720,FlexibleCylinder_0,200,100.19608591348981,0.19608591348980678,0.03344831407671888
1740,FlexibleCylinder_0,200,100.19966832611709,0.199668326117088,0.032995496567735184
1760,FlexibleCylinder_0,200,100.20301784589073,0.20301784589073207,0.03257388334302178
1780,FlexibleCylinder_0,200,100.20650886396555,0.20650886396555038,0.03261586853901848
1800,FlexibleCylinder_0,200,100.20979389439663,0.2097938943966253,0.03305836447744811
1820,FlexibleCylinder_0,200,100.21261281234466,0.21261281234466123,0.033466579997026416
1840,FlexibleCylinder_0,200,100.2161734357504,0.2161734357504082,0.03343477917481733
1860,FlexibleCylinder_0,200,100.22026584966812,0.22026584966812887,0.033875480740226525
1880,FlexibleCylinder_0,200,100.22444785928532,0.22444785928531602,0.03443026789404378
1900,FlexibleCylinder_0,200,100.22979558199792,0.2297955819979149,0.03413578825333071
1920,FlexibleCylinder_0,200,100.23455468892628,0.23455468892627948,0.0334980385549206
1940,FlexibleCylinder_0,200,100.23808183669489,0.238081836694895,0.03314783148779062
1960,FlexibleCylinder_0,200,100.24191062023252,0.2419106202325185,0.03277832985391189
1980,FlexibleCylinder_0,200,100.24604186401041,0.246041864010414,0.03298663020674704
2000,FlexibleCylinder_0,200,100.25041126287115,0.25041126287115756,0.03293524944480951
2020,FlexibleCylinder_0,200,100.25423738488489,0.2542373848848949,0.032890282825697316
2040,FlexibleCylinder_0,200,100.25796970606314,0.25796970606313935,0.03279211647268793
2060,FlexibleCylinder_0,200,100.26149060970062,0.26149060970061583,0.03270757675661908
2080,FlexibleCylinder_0,200,100.26518769429535,0.26518769429535305,0.032565620393618565
2100,FlexibleCylinder_0,200,100.26860902755298,0.26860902755298854,0.03313637534780974
2120,FlexibleCylinder_0,200,100.2725826064782,0.27258260647820104,0.03257141266075688
2140,FlexibleCylinder_0,200,100.27720884748933,0.2772088474893286,0.03342939512570311
2160,FlexibleCylinder_0,200,100.28068708937634,0.28068708937634823,0.03351127281828893
2180,FlexibleCylinder_0,200,100.28546582701807,0.28546582701806517,0.033626796248595686
2200,FlexibleCylinder_0,200,100.2903382211479,0.2903382211479043,0.03343426321445956
2220,FlexibleCylinder_0,200,100.29504093601636,0.29504093601635895,0.03311221212371755
2240,FlexibleCylinder_0,200,100.2985595154458,0.29855951544580256,0.03292732167186393
2260,FlexibleCylinder_0,200,100.30194435476913,0.30194435476912734,0.032838197781373035
2280,FlexibleCylinder_0,200,100.30624841479253,0.30624841479253745,0.03305649400970379
2300,FlexibleCylinder_0,200,100.31029875989934,0.31029875989933947,0.03290897863657965
2320,FlexibleCylinder_0,200,100.31416748645056,0.3141674864505645,0.03258201641216572
2340,FlexibleCylinder_0,200,100.31792473341692,0.317924733416918,0.03267498181825102
2360,FlexibleCylinder_0,200,100.32233453092623,0.32233453092622916,0.03279517751039233
2380,FlexibleCylinder_0,200,100.32677227842436,0.32677227842435735,0.0326899224447457
2400,FlexibleCylinder_0,200,100.3307615477663,0.330761547766306,0.03287191559483741
2420,FlexibleCylinder_0,200,100.33506508046163,0.33506508046162614,0.0330248120712679
2440,FlexibleCylinder_0,200,100.33911856378779,0.33911856378778815,0.033204242108865085
2460,FlexibleCylinder_0,200,100.34295227740495,0.3429522774049538,0.03291903906512105
2480,FlexibleCylinder_0,200,100.34590654541849,0.34590654541848775,0.032867443194742295
2500,FlexibleCylinder_0,200,100.35097743929802,0.35097743929801467,0.03285615093517096
2520,FlexibleCylinder_0,200,100.35549269183694,0.35549269183694904,0.03291331882076445
2540,FlexibleCylinder_0,200,100.35951703311902,0.3595170331190231,0.03279899768810769
2560,FlexibleCylinder_0,200,100.3634679084465,0.36346790844649535,0.032608816293026574
2580,FlexibleCylinder_0,200,100.36751845482922,0.36751845482923046,0.032646544321071044
2600,FlexibleCylinder_0,200,100.37159122569489,0.37159122569488345,0.03292261491121456
2620,FlexibleCylinder_0,200,100.37556093668522,0.37556093668522533,0.032691738656146795
2640,FlexibleCylinder_0,200,100.37956261120372,0.3795626112037295,0.03250877829500228
2660,FlexibleCylinder_0,200,100.38322073001662,0.3832207300166193,0.03217944908002772
2680,FlexibleCylinder_0,200,100.38649511259398,0.3864951125939813,0.03223232258750087
2700,FlexibleCylinder_0,200,100.38971452581471,0.38971452581471505,0.03244087649316442
2720,FlexibleCylinder_0,200,100.39280617889389,0.3928061788938895,0.03281103612273365
2740,FlexibleCylinder_0,200,100.39630571375311,0.3963057137531142,0.033020402560407856
2760,FlexibleCylinder_0,200,100.40037925727263,0.4003792572726344,0.03417235861822419
2780,FlexibleCylinder_0,200,100.40486051917823,0.40486051917822335,0.03467467107492288
2800,FlexibleCylinder_0,200,100.40830798455431,0.40830798455431594,0.035361662891875
2820,FlexibleCylinder_0,200,100.41142624765737,0.4114262476573812,0.03393767714415547
2840,FlexibleCylinder_0,200,100.41527051858077,0.41527051858077224,0.03339267322950937
2860,FlexibleCylinder_0,200,100.41874330226781,0.4187433022678133,0.033949869769712294
2880,FlexibleCylinder_0,200,100.4219345803212,0.42193458032120623,0.032674030043461484
2900,FlexibleCylinder_0,200,100.42458198734047,0.42458198734046954,0.03258496046062918
2920,FlexibleCylinder_0,200,100.42844466775239,0.42844466775238954,0.0322853223774129
2940,FlexibleCylinder_0,200,100.43200924641599,0.43200924641598226,0.03234139856592697
2960,FlexibleCylinder_0,200,100.4348708289387,0.43487082893870294,0.03255179091335176
2980,FlexibleCylinder_0,200,100.43687769366039,0.43687769366039847,0.032635886072313866
3000,FlexibleCylinder_0,200,100.43950697203115,0.43950697203114814,0.03248921344038178
3020,FlexibleCylinder_0,200,100.44263607879083,0.44263607879082384,0.03262116440764673
3040,FlexibleCylinder_0,200,100.44609402723513,0.4460940272351395,0.032697680684242905
3060,FlexibleCylinder_0,200,100.44899677136519,0.4489967713651947,0.0328866956961416
3080,FlexibleCylinder_0,200,100.45159915556971,0.45159915556970276,0.03293908100428078
3100,FlexibleCylinder_0,200,100.45388603044597,0.4538860304459675,0.03294355471050366
3120,FlexibleCylinder_0,200,100.45659384685624,0.45659384685623816,0.033049119361730835
3140,FlexibleCylinder_0,200,100.45891019139154,0.458910191391532,0.03265540720340056
3160,FlexibleCylinder_0,200,100.46165443882948,0.4616544388294895,0.03236015723091445
3180,FlexibleCylinder_0,200,100.46377505458294,0.4637750545829358,0.031904136613347615
3200,FlexibleCylinder_0,200,100.46619070209351,0.46619070209351854,0.03194472132014816
3220,FlexibleCylinder_0,200,100.46920865014256,0.4692086501425554,0.03221258811806392
3240,FlexibleCylinder_0,200,100.47208691444986,0.47208691444985423,0.03220439234670872
3260,FlexibleCylinder_0,200,100.4735121515522,0.4735121515521975,0.03223384508570537
3280,FlexibleCylinder_0,200,100.47517441500075,0.47517441500075125,0.03214372522603813
3300,FlexibleCylinder_0,200,100.47760376344287,0.47760376344286876,0.03216322902683822
3320,FlexibleCylinder_0,200,100.4797872935676,0.4797872935675996,0.03206092815760842
3340,FlexibleCylinder_0,200,100.48174211728386,0.481742117283862,0.03204795993198683
3360,FlexibleCylinder_0,200,100.48356130497149,0.483561304971481,0.031872867034156226
3380,FlexibleCylinder_0,200,100.48597414076858,0.48597414076858236,0.031865762801862374
3400,FlexibleCylinder_0,200,100.48823709306343,0.48823709306343205,0.031848486483354324
3420,FlexibleCylinder_0,200,100.49039600327824,0.4903960032782301,0.03191524393473347
3440,FlexibleCylinder_0,200,100.49214846892167,0.49214846892167663,0.03187728593407419
3460,FlexibleCylinder_0,200,100.49380581597585,0.49380581597584744,0.03141335221995847
3480,FlexibleCylinder_0,200,100.49609476332293,0.4960947633229252,0.031190808116710638
3500,FlexibleCylinder_0,200,100.49794040323624,0.49794040323624805,0.03147981395106844
3520,FlexibleCylinder_0,200,100.49999453534778,0.49999453534777416,0.03138576674017597
3540,FlexibleCylinder_0,200,100.50156735171778,0.5015673517177872,0.03130978387931061
3560,FlexibleCylinder_0,200,100.50342480955231,0.5034248095523097,0.031372895974379464
3580,FlexibleCylinder_0,200,100.50584035449988,0.5058403544998756,0.03122673197420875
3600,FlexibleCylinder_0,200,100.50732295982377,0.507322959823767,0.03107533418446278
3620,FlexibleCylinder_0,200,100.50832533916736,0.5083253391673502,0.03125904327353238
