Material,Power_Proxy,Amplitude,Frequency
PVC Plastic,1.0538842623819435e-07,1.934829584604971,0.16778523489932884
Carbon Fiber,8.661586256017613e-10,0.012096980339824284,2.4328859060402683
Aluminum,2.3578003075353064e-10,0.012202210321023074,1.2583892617449663
Fiberglass,1.356188715625596e-10,0.0462716582710632,0.2516778523489933
